date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:47:46	123714/123714	---M--	200	added ('OK')	image/gif	etag:%221e342-3577b933d6440%22	https://www.cis.rit.edu/htbooks/nmr/chap-8/images/trans-he.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/chap-8/images/trans-he.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-8/h12-4.htm)
10:47:46	124022/124022	---M--	200	added ('OK')	image/gif	etag:%221e476-3577b933d6440%22	https://www.cis.rit.edu/htbooks/nmr/chap-8/images/trans-ln.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/chap-8/images/trans-ln.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-8/h12-3.htm)
10:47:47	132921/132921	---M--	200	added ('OK')	image/gif	etag:%2220739-3577b92864940%22	https://www.cis.rit.edu/htbooks/nmr/chap-8/images/guage.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/chap-8/images/guage.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-8/h12-5.htm)
10:47:47	145621/145621	---M--	200	added ('OK')	image/gif	etag:%22238d5-3577b91551c40%22	https://www.cis.rit.edu/htbooks/nmr/chap-8/images/check-v.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/chap-8/images/check-v.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-8/h12-6.htm)
10:47:47	144061/144061	---M--	200	added ('OK')	image/gif	etag:%22232bd-3577b937a6d40%22	https://www.cis.rit.edu/htbooks/nmr/chap-8/images/vent-t.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/chap-8/images/vent-t.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-8/h12-7.htm)
10:47:47	131791/131791	---M--	200	added ('OK')	image/gif	etag:%22202cf-3577b92864940%22	https://www.cis.rit.edu/htbooks/nmr/chap-8/images/full.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/chap-8/images/full.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-8/h12-8.htm)
10:47:48	1957/1957	---M--	200	added ('OK')	image/gif	etag:%227a5-357783110ab40%22	https://www.cis.rit.edu/htbooks/nmr/chap-9/images/hh-dec1.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/chap-9/images/hh-dec1.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-9/i2-1.htm)
10:47:48	1956/1956	---M--	200	added ('OK')	image/gif	etag:%227a4-357783110ab40%22	https://www.cis.rit.edu/htbooks/nmr/chap-9/images/hh-dec2.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/chap-9/images/hh-dec2.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-9/i2-2.htm)
10:47:48	1949/1949	---M--	200	added ('OK')	image/gif	etag:%2279d-35778313e7200%22	https://www.cis.rit.edu/htbooks/nmr/chap-9/images/hh-dec3.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/chap-9/images/hh-dec3.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-9/i2-2a.htm)
10:47:48	1790/1790	---M--	200	added ('OK')	image/gif	etag:%226fe-35778313e7200%22	https://www.cis.rit.edu/htbooks/nmr/chap-9/images/hh-dec4.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/chap-9/images/hh-dec4.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-9/i2-2b.htm)
10:47:49	2038/2038	---M--	200	added ('OK')	image/gif	etag:%227f6-3577830969940%22	https://www.cis.rit.edu/htbooks/nmr/chap-9/images/dc-b1t.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/chap-9/images/dc-b1t.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-9/i2-3.htm)
10:47:49	2175/2175	---M--	200	added ('OK')	image/gif	etag:%2287f-3577830d3a240%22	https://www.cis.rit.edu/htbooks/nmr/chap-9/images/dc-mzt.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/chap-9/images/dc-mzt.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-9/i2-3.htm)
10:47:49	1650/1650	---M--	200	added ('OK')	image/gif	etag:%22672-3577830c46000%22	https://www.cis.rit.edu/htbooks/nmr/chap-9/images/dc-mxt.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/chap-9/images/dc-mxt.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-9/i2-3.htm)
10:47:49	2170/2170	---M--	200	added ('OK')	image/gif	etag:%2287a-3577830c46000%22	https://www.cis.rit.edu/htbooks/nmr/chap-9/images/dc-myt.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/chap-9/images/dc-myt.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-9/i2-3.htm)
10:47:50	1294/1294	---M--	200	added ('OK')	image/gif	etag:%2250e-3577830599040%22	https://www.cis.rit.edu/htbooks/nmr/chap-9/images/c.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/chap-9/images/c.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-9/i2-4.htm)
10:47:50	1259/1259	---M--	200	added ('OK')	image/gif	etag:%224eb-3577830875700%22	https://www.cis.rit.edu/htbooks/nmr/chap-9/images/ch.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/chap-9/images/ch.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-9/i2-5.htm)
10:47:50	1278/1278	---M--	200	added ('OK')	image/gif	etag:%224fe-3577830875700%22	https://www.cis.rit.edu/htbooks/nmr/chap-9/images/ch2.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/chap-9/images/ch2.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-9/i2-6.htm)
10:47:51	1247/1247	---M--	200	added ('OK')	image/gif	etag:%224df-3577830969940%22	https://www.cis.rit.edu/htbooks/nmr/chap-9/images/ch3.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/chap-9/images/ch3.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-9/i2-7.htm)
10:47:51	1610/1610	---M--	200	added ('OK')	image/gif	etag:%2264a-35778314db440%22	https://www.cis.rit.edu/htbooks/nmr/chap-9/images/t0-ch.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/chap-9/images/t0-ch.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-9/i3-1.htm)
